index,w_m_exceso,m_x_infl,infl_prev_c,w_PIB_crec_real,w_r_fisher,w_deficit_rez,poca_prof_c,def_x_poca_prof,w_depreciacion,const
2,-2.45652684444625,11.496961672935972,-4.680169361441526,7.04687499241221,1.0641607356015381,2.343,-0.027815562296776286,-0.06517186246134683,0.0,1.0
3,11.089787095031513,-50.47306736410795,-4.551310762919973,1.99198444906199,1.1530505148030112,2.102,-0.0141789596068983,-0.029804173093700224,0.0,1.0
4,9.1789538162138,-31.933027380898707,-3.4789397593974023,1.2380418420716,-0.39991747406245004,-0.114,-0.04168310551411625,0.004751874028609253,0.0,1.0
5,-5.317449894091629,20.394627156983567,-3.8354150134342824,7.62292064930222,3.9240013296208742,-0.086,-0.043474858690989326,0.0037388378474250816,0.0,1.0
6,1.70543414585258,-8.0578250142207,-4.72479399677578,4.1820016304779,5.407868231153068,-0.645,-0.061406379121917265,0.039607114533636634,0.0,1.0
7,11.430664662293983,-89.93203029170606,-7.867611634900142,-0.944953481157384,9.299180911625559,0.835,-0.10338997492974028,-0.08633062906633313,0.0,1.0
8,7.76538053037622,-55.284869385927486,-7.119402477401713,1.11050459944282,0.6370602320656227,3.169,-0.14560302477590126,-0.4614159855148311,0.0,1.0
9,-4.07797449162946,26.296495035895042,-6.448420677930136,7.29372807096192,0.04944616254922707,-1.896,-0.1133301508396733,0.21487396599202055,0.0,1.0
10,6.574884926253588,-30.024978893502972,-4.566616637443023,-0.383137672063768,1.2548306819078814,8.531,-0.13608485978803936,-1.1609399388517638,0.0,1.0
11,1.2460844976441,-5.427545663659437,-4.355680272020866,1.12741146411624,-0.6353032548471971,2.957,-0.13431905523483229,-0.39718144632939906,0.0,1.0
12,0.2110513324248999,-0.8886485770911585,-4.2105802739121465,3.0895443848509,0.9814564636140499,2.541,-0.11275041257836932,-0.28649879836163644,0.0,1.0
13,14.72830343157762,-50.4432490186616,-3.4249191872643525,1.83575517191368,-0.9193891172196933,1.046,-0.10206242870428434,-0.10675730042468141,0.0,1.0
14,17.42736530386623,-64.36394099774516,-3.6932685965712864,-11.6777413693852,-0.8271904314766987,-1.466,-0.15440826392392132,0.22636251491246864,0.0,1.0
15,2.452122826961898,-10.512145556843567,-4.286957179003867,-2.73345679250639,0.1934249819620204,2.631,-0.18348442554686428,-0.4827475236137999,0.0,1.0
16,-3.242438223966584,20.80691096331365,-6.417057018856586,3.36923718421511,2.8583761112727535,3.487,-0.15798219418990933,-0.5508839111402138,0.0,1.0
17,9.2912906081052,-60.417998002210965,-6.502648614768942,-1.04079988436683,-2.5053192854331385,6.429,-0.1823368849469893,-1.1722438333241942,0.0,1.0
18,-10.15162926765104,71.15342462532197,-7.009064530366364,6.43146080719245,3.0104271282876294,8.955,-0.18711470402480934,-1.6756121745421677,0.0,1.0
19,4.1723209015669696,-30.318497407203026,-7.266578511690344,1.42609951155575,4.383439693227298,6.048,-0.19788323923344525,-1.196797830883877,0.0,1.0
20,5.841099825439581,-48.54810339295957,-8.311466135456092,3.61147906591042,1.0201034405932452,7.459,-0.16174667022791728,-1.206468413230035,0.0,1.0
21,8.26657135190384,-62.42329870187335,-7.551292554620834,1.23433537363427,-0.4533796598317874,1.475,-0.1676971694620653,-0.24735332495654636,0.0,1.0
22,-1.72931694968045,12.212476773238578,-7.062023404960697,3.49342985290626,2.1394403080905455,1.455,-0.1679431968517383,-0.24435735141927925,0.0,1.0
23,0.0187371640134803,-0.13684020742465874,-7.303144025755987,3.21247111920076,1.0507990203612483,2.587,-0.15512887087978533,-0.4013183889660047,0.0,1.0
24,3.16894588339471,-22.95285593394982,-7.243057085393247,1.22914408896015,-0.4333528859938207,2.641,-0.19180415269681828,-0.5065547672722971,0.0,1.0
25,28.92977345341899,-195.4026138910769,-6.75437760360283,-12.716771466874244,0.3587380058756917,0.247,-0.41987436760345737,-0.10370896879805397,0.0,1.0
26,-2.9918609844388,23.688535625262805,-7.917659192212165,14.833691976226,5.2165423168616165,16.709,-0.2799416105013294,-4.6775443698667125,0.0,1.0
27,-7.28487810440398,58.67263925827535,-8.054031710263699,10.6079607621246,-0.42616886743390703,9.704,-0.2003143357899983,-1.9438503145061437,0.0,1.0
28,-8.728092248436676,61.11100053993017,-7.0016446664935295,9.51636022347185,-1.2441114393727193,0.503,-0.1759413647803843,-0.0884985064845333,0.0,1.0
