iso3,anio,share_local,fx_share
AZE,2009,0.31899999999999995,0.681
AZE,2010,0.46499999999999997,0.535
AZE,2011,0.33999999999999997,0.66
AZE,2012,0.268,0.732
AZE,2013,0.273,0.727
AZE,2014,0.07999999999999996,0.92
AZE,2015,0.031000000000000028,0.969
AZE,2016,0.07099999999999995,0.929
AZE,2017,0.11199999999999999,0.888
AZE,2018,0.07499999999999996,0.925
AZE,2019,0.08299999999999996,0.917
AZE,2020,0.11499999999999999,0.885
BEN,1989,0.29000000000000004,0.71
BEN,1990,0.242,0.758
BEN,1991,0.22999999999999998,0.77
BEN,1992,0.11199999999999999,0.888
BEN,1993,0.08499999999999996,0.915
BEN,1994,0.16300000000000003,0.837
BEN,1995,0.14700000000000002,0.853
BEN,1996,0.11399999999999999,0.886
BEN,1997,0.10199999999999998,0.898
BEN,1998,0.14400000000000002,0.856
BEN,1999,0.07599999999999996,0.924
BEN,2000,0.118,0.882
BEN,2001,0.06899999999999995,0.931
BEN,2002,0.06399999999999995,0.936
BEN,2003,0.08299999999999996,0.917
BEN,2004,0.07299999999999995,0.927
BEN,2005,0.138,0.862
BEN,2006,0.08499999999999996,0.915
BEN,2007,0.388,0.612
BEN,2008,0.486,0.514
BEN,2009,0.479,0.521
BEN,2010,0.44899999999999995,0.551
BEN,2011,0.45099999999999996,0.549
BEN,2012,0.41900000000000004,0.581
BEN,2013,0.33699999999999997,0.663
BEN,2014,0.349,0.651
BEN,2015,0.44899999999999995,0.551
BEN,2016,0.501,0.499
BEN,2017,0.53,0.47
BEN,2018,0.489,0.511
BEN,2019,0.395,0.605
BEN,2020,0.42600000000000005,0.574
BEN,2021,0.31499999999999995,0.685
BEN,2022,0.368,0.632
BEN,2023,0.33699999999999997,0.663
BEN,2024,0.21399999999999997,0.786
BFA,1989,0.29800000000000004,0.702
BFA,1990,0.28,0.72
BFA,1991,0.22999999999999998,0.77
BFA,1992,0.11299999999999999,0.887
BFA,1993,0.09899999999999998,0.901
BFA,1994,0.15600000000000003,0.844
BFA,1995,0.15500000000000003,0.845
BFA,1996,0.11499999999999999,0.885
BFA,1997,0.126,0.874
BFA,1998,0.18899999999999995,0.811
BFA,1999,0.08899999999999997,0.911
BFA,2000,0.14100000000000001,0.859
BFA,2001,0.11499999999999999,0.885
BFA,2002,0.19599999999999995,0.804
BFA,2003,0.243,0.757
BFA,2004,0.27,0.73
BFA,2005,0.18600000000000005,0.814
BFA,2006,0.28900000000000003,0.711
BFA,2007,0.32699999999999996,0.673
BFA,2008,0.32999999999999996,0.67
BFA,2009,0.32499999999999996,0.675
BFA,2010,0.18000000000000005,0.82
BFA,2011,0.356,0.644
BFA,2012,0.31899999999999995,0.681
BFA,2013,0.375,0.625
BFA,2014,0.31899999999999995,0.681
BFA,2015,0.354,0.646
BFA,2016,0.367,0.633
BFA,2017,0.43899999999999995,0.561
BFA,2018,0.486,0.514
BFA,2019,0.502,0.498
BFA,2020,0.521,0.479
BFA,2021,0.5840000000000001,0.4159999999999999
BFA,2022,0.604,0.396
BFA,2023,0.5760000000000001,0.42399999999999993
BFA,2024,0.579,0.42100000000000004
BGD,1989,0.11499999999999999,0.885
BGD,1990,0.06999999999999995,0.93
BGD,1991,0.05500000000000005,0.945
BGD,1992,0.121,0.879
BGD,1993,0.10899999999999999,0.891
BGD,1994,0.11699999999999999,0.883
BGD,1995,0.125,0.875
BGD,1996,0.138,0.862
BGD,1997,0.139,0.861
BGD,1998,0.15000000000000002,0.85
BGD,1999,0.17100000000000004,0.829
BGD,2000,0.20199999999999996,0.798
BGD,2001,0.377,0.623
BGD,2002,0.376,0.624
BGD,2003,0.357,0.643
BGD,2004,0.366,0.634
BGD,2005,0.394,0.606
BGD,2006,0.41200000000000003,0.588
BGD,2007,0.43700000000000006,0.563
BGD,2008,0.45399999999999996,0.546
BGD,2009,0.16000000000000003,0.84
BGD,2010,0.18000000000000005,0.82
BGD,2011,0.10199999999999998,0.898
BGD,2012,0.16900000000000004,0.831
BGD,2013,0.20599999999999996,0.794
BGD,2014,0.266,0.734
BGD,2015,0.20599999999999996,0.794
BGD,2016,0.21099999999999997,0.789
BGD,2017,0.15600000000000003,0.844
BGD,2018,0.11699999999999999,0.883
BGD,2019,0.14600000000000002,0.854
BGD,2020,0.30200000000000005,0.698
BGD,2021,0.29000000000000004,0.71
BGD,2022,0.242,0.758
BGD,2023,0.22599999999999998,0.774
BGD,2024,0.251,0.749
BGD,2025,0.28400000000000003,0.716
BGR,1995,0.03200000000000003,0.968
BGR,1996,0.09999999999999998,0.9
BGR,1997,0.30800000000000005,0.692
BGR,1998,0.29100000000000004,0.709
BGR,1999,0.241,0.759
BGR,2000,0.22299999999999998,0.777
BGR,2001,0.22199999999999998,0.778
BGR,2002,0.245,0.755
BGR,2003,0.31299999999999994,0.687
BGR,2004,0.349,0.651
BGR,2005,0.30800000000000005,0.692
BGR,2006,0.353,0.647
BGR,2007,0.41500000000000004,0.585
BGR,2008,0.479,0.521
BGR,2009,0.45199999999999996,0.548
BGR,2010,0.509,0.491
BGR,2011,0.5569999999999999,0.44300000000000006
BGR,2012,0.504,0.496
BGR,2013,0.523,0.477
BGR,2014,0.481,0.519
BGR,2015,0.53,0.47
BGR,2016,0.522,0.478
BGR,2017,0.5660000000000001,0.43399999999999994
BGR,2018,0.554,0.44599999999999995
BGR,2019,0.5589999999999999,0.44100000000000006
BGR,2020,0.47,0.53
BGR,2021,0.515,0.485
BGR,2022,0.5409999999999999,0.4590000000000001
BGR,2023,0.498,0.502
BGR,2024,0.486,0.514
BGR,2025,0.498,0.502
BHR,1989,1.0,0.0
BHR,1990,1.0,0.0
BHR,1991,1.0,0.0
BHR,1992,1.0,0.0
BHR,1993,1.0,0.0
BHR,1994,1.0,0.0
BHR,1995,1.0,0.0
BHR,1996,1.0,0.0
BHR,1997,1.0,0.0
BHR,1998,1.0,0.0
BHR,1999,1.0,0.0
BHR,2000,1.0,0.0
BHR,2001,1.0,0.0
BHR,2002,1.0,0.0
BHR,2003,0.791,0.20899999999999996
BHR,2004,0.806,0.19399999999999995
BHR,2005,0.806,0.19399999999999995
BHR,2006,0.8,0.19999999999999996
BHR,2007,0.789,0.21099999999999997
BHR,2008,0.83,0.17000000000000004
BHR,2009,0.847,0.15300000000000002
