iso3,anio,PIB_crec_weo,cta_corriente_weo,deuda_bruta_weo,infl_ipc_weo,resultado_fiscal_weo,resultado_primario_weo
ALB,2006,5.903,-6.578,56.021,2.37,-3.225,-0.393
ALB,2007,5.983,-10.455,52.921,2.96,-3.142,-0.529
ALB,2008,7.5,-15.583,54.491,3.31,-4.827,-1.964
ALB,2009,3.354,-15.203,58.965,2.231,-6.509,-3.373
ALB,2010,3.707,-11.188,57.041,3.615,-3.479,-0.162
ALB,2011,2.545,-12.765,58.714,3.443,-3.475,-0.35
ALB,2012,1.418,-10.082,61.414,2.036,-3.4,-0.323
ALB,2013,1.002,-9.144,69.563,1.925,-5.154,-1.982
ALB,2014,1.774,-10.67,71.146,1.613,-5.393,-2.555
ALB,2015,2.219,-8.508,72.849,1.868,-4.267,-1.605
ALB,2016,3.315,-7.483,72.462,1.287,-1.48,0.954
ALB,2017,3.802,-7.404,71.049,1.985,-1.389,0.644
ALB,2018,4.019,-6.674,68.655,2.029,-1.601,0.603
ALB,2019,2.088,-7.482,66.575,1.411,-1.921,0.131
ALB,2020,-3.314,-8.614,75.381,1.621,-6.665,-4.588
ALB,2021,8.97,-7.633,74.795,2.043,-4.571,-2.652
ALB,2022,4.827,-5.843,65.198,6.726,-3.639,-1.796
ALB,2023,3.937,-1.217,58.365,4.769,-1.316,0.692
ALB,2024,3.962,-2.409,55.653,2.225,-0.45,1.702
ALB,2025,3.788,-3.053,54.295,2.374,-2.539,0.007
ALB,2026,3.468,-3.05,53.5,2.665,-2.552,
AND,2001,8.119,,15.774,,0.658,
AND,2002,4.546,,15.266,3.127,0.978,
AND,2003,8.694,,15.163,3.056,1.764,
AND,2004,8.136,,15.105,2.906,1.855,
AND,2005,5.398,,14.76,3.527,-0.081,
AND,2006,4.809,,17.165,3.682,-1.436,
AND,2007,1.553,,20.872,2.659,-2.828,
AND,2008,-5.559,,27.749,4.347,-3.192,
AND,2009,-5.303,,33.512,-1.217,-3.51,
AND,2010,-1.975,,35.02,1.706,-0.349,
AND,2011,-0.008,,36.493,2.552,0.405,
AND,2012,-4.974,,41.532,1.467,-1.653,
AND,2013,-3.548,,42.533,0.475,3.36,
AND,2014,2.504,,42.025,-0.096,2.143,
AND,2015,1.434,,40.955,-1.132,1.654,
AND,2016,3.71,,39.773,-0.422,4.068,
AND,2017,0.346,,37.854,2.586,3.338,
AND,2018,1.589,,36.344,0.996,2.671,
AND,2019,2.016,18.01,35.365,0.53,2.306,
AND,2020,-11.184,15.526,46.353,0.092,-1.065,
AND,2021,8.287,15.022,48.614,1.677,-1.166,
AND,2022,9.565,11.643,38.907,6.203,4.844,
AND,2023,2.584,14.221,35.467,5.607,2.148,
AND,2024,3.373,15.074,33.234,3.074,2.235,
AND,2025,1.9,16.893,31.996,2.24,1.262,
AND,2026,1.6,16.931,30.935,1.775,1.124,
ARE,1995,6.629,0.17,,4.33,3.583,3.586
ARE,1996,5.399,5.973,,2.976,0.917,0.924
ARE,1997,8.567,11.26,,2.966,6.711,6.712
ARE,1998,0.878,3.943,,1.994,0.996,0.997
ARE,1999,3.83,6.448,4.727,2.1,1.306,1.307
ARE,2000,12.322,16.307,3.12,1.348,10.66,10.728
ARE,2001,1.399,9.072,2.69,2.8,1.205,1.298
ARE,2002,2.433,3.316,3.427,2.918,-1.238,-1.21
ARE,2003,8.801,5.783,3.332,3.119,2.352,2.356
ARE,2004,9.566,6.43,4.08,5.041,6.4,6.456
ARE,2005,4.855,13.165,4.482,6.195,15.987,16.024
ARE,2006,9.837,17.315,5.052,9.285,20.15,20.151
ARE,2007,3.184,7.631,8.892,11.128,17.126,17.133
ARE,2008,3.192,7.059,8.949,12.258,17.638,17.671
ARE,2009,-5.243,3.095,21.136,-4.725,-6.127,-5.95
ARE,2010,5.284,4.063,18.799,0.879,0.532,0.847
ARE,2011,6.216,12.06,20.862,0.876,5.166,5.345
ARE,2012,1.824,19.006,20.657,0.663,8.771,9.077
ARE,2013,5.056,18.293,15.611,1.104,8.183,8.585
ARE,2014,4.166,13.159,13.819,2.346,1.789,2.057
ARE,2015,6.787,4.74,16.104,4.068,-6.555,-6.35
ARE,2016,5.561,3.575,19.267,1.619,-3.051,-2.905
ARE,2017,0.735,7.042,21.864,1.966,-0.164,-0.03
ARE,2018,1.314,9.658,21.329,3.071,3.77,4.003
ARE,2019,1.108,8.929,26.801,-1.934,2.59,2.885
ARE,2020,-4.957,6.038,41.294,-2.076,-2.468,-2.17
ARE,2021,4.355,11.549,36.291,-0.113,4.033,4.334
ARE,2022,7.51,13.223,32.057,4.827,9.974,10.489
ARE,2023,3.619,10.665,32.436,1.624,5.914,6.557
ARE,2024,3.762,9.127,32.114,1.742,4.83,5.541
ARE,2025,3.991,6.61,32.817,2.1,2.892,3.635
ARE,2026,4.986,6.376,32.584,2.0,2.93,3.711
ARG,1995,-2.845,-1.769,30.749,,-2.075,-0.408
ARG,1996,5.527,-2.352,32.551,,-2.811,-0.966
ARG,1997,8.111,-3.753,31.676,,-1.838,0.252
ARG,1998,3.85,-4.38,34.147,0.925,-1.827,0.521
ARG,1999,-3.385,-3.815,38.917,-1.167,-3.705,-0.659
ARG,2000,-0.789,-2.878,40.833,-0.939,-3.417,0.211
ARG,2001,-4.409,-1.316,48.007,-1.065,-5.364,-1.252
ARG,2002,-10.894,7.666,147.203,25.869,-1.91,0.235
ARG,2003,8.955,5.597,125.162,13.443,1.5,3.226
ARG,2004,8.911,1.798,117.878,4.416,3.967,5.219
ARG,2005,8.852,2.473,80.282,9.642,3.341,5.152
ARG,2006,8.047,2.791,70.793,10.898,1.65,3.286
ARG,2007,9.008,2.101,62.133,8.83,0.757,2.55
ARG,2008,4.057,1.491,53.814,8.585,0.352,1.865
ARG,2009,-5.919,2.167,55.397,6.27,-1.83,-0.488
ARG,2010,10.125,-0.382,43.454,10.461,-1.393,-0.538
ARG,2011,6.004,-1.012,38.935,9.775,-2.746,-1.587
ARG,2012,-1.026,-0.369,40.436,10.043,-3.018,-1.696
ARG,2013,2.405,-2.147,43.496,10.619,-3.254,-2.64
ARG,2014,-2.513,-1.629,44.697,,-4.252,-3.5
ARG,2015,2.731,-2.743,52.563,,-6.001,-4.418
ARG,2016,-2.08,-2.713,53.06,,-6.655,-4.762
ARG,2017,2.819,-4.838,57.028,25.675,-6.693,-4.228
ARG,2018,-2.617,-5.164,85.246,34.277,-5.441,-2.238
ARG,2019,-2.001,-0.781,89.84,53.548,-4.445,-0.407
ARG,2020,-9.9,0.698,103.816,42.015,-8.674,-6.24
ARG,2021,10.442,1.363,81.043,48.409,-4.333,-2.526
ARG,2022,5.27,-0.641,84.463,72.431,-3.844,-1.731
ARG,2023,-1.611,-3.246,155.411,133.489,-5.362,-2.814
ARG,2024,-1.719,0.994,85.334,219.885,0.861,2.499
ARG,2025,5.502,-0.391,73.091,35.91,0.431,1.794
ARG,2026,4.52,-0.285,68.233,14.542,1.405,3.662
ARM,1995,8.033,-16.972,,176.743,,
ARM,1996,5.169,-18.202,40.792,18.653,,
ARM,1997,3.387,-19.315,46.515,14.034,,
ARM,1998,6.271,-21.992,45.2,8.687,,
ARM,1999,3.17,-16.937,39.2,0.723,,
ARM,2000,5.853,-15.781,39.597,-0.774,,
ARM,2001,9.468,-10.44,38.061,3.16,,
ARM,2002,14.807,-6.219,38.248,1.038,,
ARM,2003,14.052,-6.181,33.016,4.682,,
ARM,2004,10.473,-2.204,26.446,6.889,,
ARM,2005,14.113,-2.529,24.405,0.569,-1.976,-1.517
ARM,2006,13.198,-2.395,18.725,2.899,-1.95,-1.611
ARM,2007,13.749,-7.357,16.102,4.409,-2.334,-2.018
ARM,2008,6.948,-14.225,16.145,9.115,-1.757,-1.465
ARM,2009,-14.15,-16.484,40.161,3.516,-7.686,-7.171
ARM,2010,2.2,-13.622,39.667,8.152,-4.979,-4.107
ARM,2011,4.7,-10.44,42.006,7.494,-2.875,-1.942
ARM,2012,7.134,-9.962,41.225,2.492,-1.493,-0.551
ARM,2013,3.412,-7.297,40.856,5.714,-1.593,-0.567
ARM,2014,3.607,-7.75,43.689,3.02,-1.943,-0.666
ARM,2015,3.254,-2.662,48.702,3.696,-4.837,-3.368
ARM,2016,0.195,-0.957,56.749,-1.424,-5.632,-3.693
ARM,2017,7.518,-1.261,58.938,0.939,-4.785,-2.633
ARM,2018,5.225,-7.228,55.652,2.514,-1.752,0.559
ARM,2019,7.631,-7.057,53.673,1.51,-0.977,1.431
ARM,2020,-7.105,-3.998,67.362,1.199,-5.403,-2.74
ARM,2021,5.77,-3.482,63.354,7.206,-4.584,-1.997
ARM,2022,12.569,0.333,49.246,8.663,-2.111,0.222
ARM,2023,8.316,-2.309,50.723,1.959,-2.027,0.654
ARM,2024,5.941,-3.905,50.297,0.272,-3.75,-0.653
ARM,2025,4.505,-4.522,54.478,3.211,-5.5,-1.982
ARM,2026,4.5,-4.826,56.204,3.0,-4.5,-1.009
ATG,1995,-4.36,,92.135,2.737,-3.891,-1.31
ATG,1996,6.605,,85.544,2.965,-1.611,1.135
ATG,1997,5.471,,80.647,0.362,0.0,1.601
ATG,1998,4.731,,94.563,3.262,-1.62,0.805
ATG,1999,3.708,,95.921,1.135,-3.076,-1.014
ATG,2000,6.204,,96.424,-0.162,-4.503,0.022
ATG,2001,-4.548,,107.566,1.935,-8.576,-5.41
ATG,2002,1.027,,114.527,2.408,-8.829,-5.275
ATG,2003,6.077,,112.979,1.994,-7.322,-2.959
ATG,2004,5.767,,107.65,2.03,-3.901,-0.043
ATG,2005,6.474,,82.823,2.099,-4.294,-1.157
ATG,2006,12.708,,79.121,1.788,-6.625,-3.342
ATG,2007,9.315,,68.652,1.416,-4.979,-2.216
ATG,2008,-0.014,,66.839,5.334,-4.716,-2.282
ATG,2009,-11.963,,89.151,-0.55,-15.801,-9.548
ATG,2010,-7.841,,79.398,3.37,-0.245,1.598
ATG,2011,-1.959,,81.127,3.457,-3.09,-1.27
ATG,2012,3.373,,76.929,3.377,-0.975,1.054
ATG,2013,-0.601,,85.38,1.059,-3.829,-1.496
ATG,2014,2.198,-0.038,91.887,1.089,-2.601,-0.162
ATG,2015,1.422,2.034,92.125,0.969,-2.418,-0.081
ATG,2016,4.12,-2.388,83.061,-0.489,-0.14,2.31
ATG,2017,2.713,-7.697,88.176,2.432,-2.717,-0.132
ATG,2018,6.712,-13.994,84.333,1.211,-2.43,-0.003
ATG,2019,3.172,-6.505,81.588,1.431,-3.64,-0.947
ATG,2020,-18.869,-15.566,100.465,1.058,-6.227,-3.737
ATG,2021,8.173,-17.782,92.951,1.627,-4.52,-2.279
ATG,2022,9.108,-15.626,82.028,7.531,-2.843,-0.274
ATG,2023,2.427,-13.513,76.329,5.067,-1.698,0.464
ATG,2024,4.313,-7.011,67.057,6.36,2.47,4.614
ATG,2025,3.048,-10.49,63.405,3.525,-1.296,0.702
ATG,2026,2.541,-10.205,63.375,2.442,-1.0,0.83
AUS,1995,2.951,-4.957,31.143,4.626,-2.603,-0.498
AUS,1996,3.973,-3.499,29.345,2.653,-1.456,0.568
AUS,1997,4.713,-2.926,25.907,0.225,-0.493,1.22
AUS,1998,4.671,-4.908,23.698,0.859,-0.246,1.142
AUS,1999,4.437,-5.479,22.544,1.408,0.666,1.646
AUS,2000,3.099,-4.046,19.495,4.457,1.25,1.926
AUS,2001,2.601,-2.249,17.106,4.407,-0.03,0.687
