fecha,vivienda_real,credito_pib
2017Q4,112.8992,161.8
2018Q1,112.5418,159.4
2018Q2,112.8496,158.6
2018Q3,114.2754,156.9
2018Q4,113.0424,156.2
2019Q1,112.0354,153.7
2019Q2,111.7198,154.9
2019Q3,113.0235,156.3
2019Q4,112.4384,154.6
2020Q1,112.1297,158.1
2020Q2,112.3348,166.9
2020Q3,115.1981,170.3
2020Q4,118.3291,173.8
2021Q1,119.9913,174.8
2021Q2,120.442,170.0
2021Q3,121.4089,167.3
2021Q4,121.0006,163.4
2022Q1,122.2217,157.7
2022Q2,120.1854,154.3
2022Q3,122.4408,152.4
2022Q4,119.1114,149.3
2023Q1,115.3541,145.3
2023Q2,111.8532,141.6
2023Q3,113.4931,140.7
2023Q4,111.5411,139.8
2024Q1,109.9391,140.4
2024Q2,109.9853,140.1
2024Q3,112.2059,139.4
2024Q4,111.4854,137.7
2025Q1,111.4309,132.9
2025Q2,108.5338,132.2
2025Q3,110.5516,133.3
2025Q4,110.3962,132.6
2026Q1,109.3388,
