index,iso3,anio,variable,valor
143,AND,2010,resultado_fiscal_weo,-0.349
144,AND,2011,resultado_fiscal_weo,0.405
145,AND,2012,resultado_fiscal_weo,-1.653
146,AND,2013,resultado_fiscal_weo,3.36
147,AND,2014,resultado_fiscal_weo,2.143
148,AND,2015,resultado_fiscal_weo,1.654
149,AND,2016,resultado_fiscal_weo,4.068
150,AND,2017,resultado_fiscal_weo,3.338
151,AND,2018,resultado_fiscal_weo,2.671
152,AND,2019,resultado_fiscal_weo,2.306
153,AND,2020,resultado_fiscal_weo,-1.065
154,AND,2021,resultado_fiscal_weo,-1.166
155,AND,2022,resultado_fiscal_weo,4.844
156,AND,2023,resultado_fiscal_weo,2.148
157,AND,2024,resultado_fiscal_weo,2.235
158,AND,2025,resultado_fiscal_weo,1.262
159,AND,2026,resultado_fiscal_weo,1.124
160,ARE,1995,resultado_fiscal_weo,3.583
161,ARE,1996,resultado_fiscal_weo,0.917
162,ARE,1997,resultado_fiscal_weo,6.711
163,ARE,1998,resultado_fiscal_weo,0.996
164,ARE,1999,resultado_fiscal_weo,1.306
165,ARE,2000,resultado_fiscal_weo,10.66
166,ARE,2001,resultado_fiscal_weo,1.205
167,ARE,2002,resultado_fiscal_weo,-1.238
168,ARE,2003,resultado_fiscal_weo,2.352
169,ARE,2004,resultado_fiscal_weo,6.4
170,ARE,2005,resultado_fiscal_weo,15.987
171,ARE,2006,resultado_fiscal_weo,20.15
172,ARE,2007,resultado_fiscal_weo,17.126
173,ARE,2008,resultado_fiscal_weo,17.638
174,ARE,2009,resultado_fiscal_weo,-6.127
175,ARE,2010,resultado_fiscal_weo,0.532
176,ARE,2011,resultado_fiscal_weo,5.166
177,ARE,2012,resultado_fiscal_weo,8.771
178,ARE,2013,resultado_fiscal_weo,8.183
179,ARE,2014,resultado_fiscal_weo,1.789
180,ARE,2015,resultado_fiscal_weo,-6.555
181,ARE,2016,resultado_fiscal_weo,-3.051
182,ARE,2017,resultado_fiscal_weo,-0.164
183,ARE,2018,resultado_fiscal_weo,3.77
184,ARE,2019,resultado_fiscal_weo,2.59
185,ARE,2020,resultado_fiscal_weo,-2.468
186,ARE,2021,resultado_fiscal_weo,4.033
187,ARE,2022,resultado_fiscal_weo,9.974
188,ARE,2023,resultado_fiscal_weo,5.914
189,ARE,2024,resultado_fiscal_weo,4.83
190,ARE,2025,resultado_fiscal_weo,2.892
191,ARE,2026,resultado_fiscal_weo,2.93
192,ARG,1995,resultado_fiscal_weo,-2.075
