mes,ipc_var,defl,emae,emae_sa,supermercados,itcrm,empleo,ripte,ipc_empalmado,ipc_var_empalmado,infl_mensual,fuente_ipc,dolar_blue,dolar_mayorista,dolar_oficial,dolar_contadoconliqui,dolar_bolsa,dolar_tarjeta,dolar_solidario,dolar_cripto,riesgo_pais,base_monetaria,M2,M3,reservas_bcra,badlar,tc_oficial_bcra,rem_infl_esperada,infl_anual,infl_esp_12m,infl_esperada,emae_var,ripte_var,ripte_real_var,M2_crec_mensual,M2_crec_anual,M2_real_crec,multiplicador,m_exceso,badlar_efectiva,tasa_real_esp,tasa_real_12m,tasa_real_expost,brecha,intervencion_score,depreciacion,M2_usd,reservas_sobre_M2,rem_para_hoy,r_exante,r_exante_aprox,r_expost,M1,M2_privado,circulante,actividad,sec_pesca,sec_ensenanza,sec_construccion,sec_industria_manufacturera,sec_intermediacion_financiera,sec_inmobiliarias_empresariales_y_a,sec_servicios_sociales_salud,sec_servicios_comunitarios,sec_hoteles_y_restaurantes,sec_transporte_almacenamiento_y_com,sec_electricidad_gas_y_agua,sec_agricultura_ganaderia_caza_y_si,sec_comercio_mayorista_y_minorista,sec_explotacion_de_minas_y_canteras,sec_administracion_publica_defensa,sec_idx_larga,sec_idx_intermedia,sec_idx_corta,sec_ratio_larga_corta,brecha_larga,brecha_fuente,regimen,d_cepo,d_post2023,saldos_reales,saldos_tendencia,exceso_saldos,idx_larga,idx_corta,ratio,ln_ratio,d_ratio,d_covid,idx_inter,d_larga,d_intermedia,d_corta
2010-01,1.0,0.0029160303126541,121.505678529232,131.720008468575,,141.43127423592108,,,16.511836955715804,2.216592780240667,2.216592780240667,San Luis (empalme),,,,,,,,,711.6842105263158,121318.0,205228.7548,309596.7548,48129.0,9.8625,,8.9,,,8.9,,,,,,,1.6916595624721804,,10.32075816914242,1.4207581691424185,,,,,,,,,1.304644783418207,1.4207581691424205,,161128.7548,,94052.0,131.720008468575,21.87595456758976,127.58770327596336,133.2283522851464,115.15503247006612,148.76434227689523,120.26391482922403,136.42043896927385,145.74326384462034,156.7428572642385,156.11257332755903,124.13139388503956,56.01882924009405,126.13969920224662,103.62414765765588,126.62219466254984,124.69398725110648,110.73720273081877,140.0441462898888,0.8903905700777541,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.185881528656266,9.350755018752396,-16.487349009613084,100.0,100.0,1.0,0.0,,0,100.0,,,
2010-02,1.2,0.0029510226764059,119.82280209204,133.123264113797,,135.74724111796132,,,17.230886679756537,4.3547530536378165,4.3547530536378165,San Luis (empalme),,,,,,,,,790.3684210526316,116460.0,204828.5501,311066.5501,47758.0,9.5375,,9.7,,,9.7,,,,-0.1950042041574562,,-4.549757257795273,1.758788855400996,,9.96566339145748,0.2656633914574797,,,,,,,,,0.2421726449019834,0.2656633914574815,,158641.5501,,92721.0,133.123264113797,57.00375926547583,128.30564836969376,135.49077511415612,111.43871348611992,143.887529375969,122.31813982526252,129.6885689033418,142.91728131525207,150.24616908153735,150.32079993813355,114.9965650481654,64.67634872758525,125.50302522184953,98.59074683307792,127.2993340501856,121.97422504251936,131.96735129114785,137.49467023815762,0.8871196594838552,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.127699023719828,9.346906379400668,-21.920735568084027,97.59253164005861,98.26237859009359,0.9931830782070799,-0.006840263142200791,,0,142.26092276483394,,,
2010-03,1.1,0.0029834839258464,136.895501620461,133.97038663481,,133.7412776868304,,,17.683946465229354,2.62934690415606,2.62934690415606,San Luis (empalme),,,,,,,,,704.2608695652174,122613.0,199300.0019,313612.0019,47460.0,9.431818181818182,,10.5,,,10.5,,,,-2.699110156909712,,-5.328457061065772,1.625439406098864,,9.850421443296488,-0.6495785567035135,,,,,,,,,-0.5878538974692371,-0.6495785567035117,,153514.0019,,93945.0,133.97038663481,107.62322549181862,128.85140782494273,138.56826383829548,132.3241684364924,151.16544767261405,126.80450471517118,139.74238945208876,140.34196868514655,144.9997308776204,162.3776459899956,125.04519591845312,132.6832634081552,152.8012122618467,106.71995510463516,126.9271828288827,131.79052032940555,192.37938648296227,142.99764290120552,0.9216272216490816,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.068889810779336,9.34305774004894,-27.416792926960557,105.6159791379387,102.26748335273972,1.032742526514018,0.03221791077764846,,0,233.61309712573973,,,
2010-04,0.8,0.0030073517972531,145.774131493018,136.865318244278,,132.61786781597655,,,17.925821931344682,1.36776859504133,1.36776859504133,San Luis (empalme),,,,,,,,,629.9047619047619,119478.0,201960.5712,322299.5712,48067.0,9.253125,,11.5,,,11.5,,,,1.3349569867716182,,-0.0328116082697116,1.6903578165017827,,9.65581524077843,-1.8441847592215688,,,,,,,,,-1.6539773625305565,-1.8441847592215688,,155654.5712,,92560.0,136.865318244278,92.05783699359895,129.3294592256484,139.778886279792,132.9804934283053,149.2611229291913,126.39802618759585,147.10104211691575,141.50041119979707,141.9804504424695,169.6526772869198,114.6980037846816,232.44862178333693,145.2137393795963,103.74503183611807,126.60834015388788,129.43553989512455,222.4722179477785,142.68959874640925,0.9071126489405856,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.069152304548508,9.339209100697213,-27.00567961487046,103.60279655503548,101.99588832752805,1.0157546373079995,0.01563182127818145,,0,261.1930000128398,,,
2010-05,0.7,0.0030284032598339,158.110631530439,139.191291045935,,128.20502962332748,,,18.209349668059925,1.5816721699074554,1.5816721699074554,San Luis (empalme),,,,,,,,,766.2,121601.0,204734.3148,333364.3148,49000.0,9.37828947368421,,12.0,,,12.0,,,,1.3734084744953412,,-0.2082636954121142,1.6836565061142588,,9.79209269865473,-2.207907301345269,,,,,,,,,-1.971345804772573,-2.207907301345269,,158309.3148,,95520.0,139.191291045935,165.2649385680639,130.67896579274708,139.17217674141278,135.83994396315805,151.0788011314878,126.85021017304057,149.53181937441434,144.55629150207173,138.3492011210617,181.2053437908202,122.2269482071024,351.01806093956867,147.20022035443037,105.99494470609912,127.45070996060436,131.98717297201975,313.8640510142411,143.8256259225454,0.9176888480436648,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.070370906641577,9.335360461345486,-26.49895547039094,105.73084864566508,102.80583648796045,1.0284518103021045,0.02805457466422513,,0,399.9251180734883,,,
2010-06,0.7,0.0030496020826527,149.861552008054,140.568712152045,,126.60627747499066,,,18.40738063880692,1.0875235763875055,1.0875235763875055,San Luis (empalme),,,,,,,,,803.2727272727273,127163.0,216039.601,346316.601,49240.0,10.142857142857142,3.956666666666667,11.2,,,11.2,,,,5.521930317857993,,4.434406741470487,1.6989187184951595,,10.627920302000591,-0.5720796979994063,,,,,,,,,-0.5144601600714171,-0.572079697999408,,165682.601,,99752.0,140.568712152045,165.13656815828733,133.62992554695566,139.20843482557578,134.92883812330473,157.59376286632087,129.7763914176564,153.62913552854906,144.7400956511994,136.31663519651426,174.17171834652845,123.26200380117592,231.311121576034,151.04527252294275,105.3255630425218,129.14915878056635,132.50989872475947,268.16850895653283,145.77110621424865,0.9090271876650344,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.105077489022513,9.331511821993756,-22.64343329712446,106.10225201249122,104.2283862346247,1.0179784590893342,0.017818757874330782,,0,346.32425538123493,,,
2010-07,0.8,0.003073998899314,139.505686628727,139.396913783302,,127.96275138767211,,,18.67702428532219,1.464867010718529,1.464867010718529,San Luis (empalme),,,,,,,,,747.5238095238095,134066.0,220541.4697,356791.4697,51073.0,10.30654761904762,3.962380952380952,11.1,,,11.1,,,,2.0838164295628347,,0.6189494188443057,1.6450216288991988,,10.807623533851451,-0.2923764661485482,,,,,,,,,-0.2631651360472942,-0.2923764661485482,,170187.4697,,103737.0,139.396913783302,182.1491250511336,131.46610702464957,143.7037751175503,137.56757569979587,146.25228086654093,128.12131340410153,147.80474806398672,161.30600865354563,151.32397911189784,168.86449802564178,130.7128861529514,108.79992793146693,150.81996195782003,107.07400192283512,127.37045962776632,135.5006446913133,227.6371874015364,149.17122637183812,0.9083564437122196,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.117361750766944,9.32766318264203,-21.0301431875088,108.49807740345668,106.46043098858883,1.019139941440649,0.018959076941569723,,0,308.33636498296994,,,
2010-08,0.7,0.0030955168916092,137.245980687156,140.002332180897,,127.72426650910572,,,18.87505525606917,1.060291873703978,1.060291873703978,San Luis (empalme),,,,,,,,,698.7727272727273,136232.0,221456.099,365893.099,50348.0,10.464285714285714,3.9657142857142857,11.1,,,11.1,,,,0.4147198716160538,,-0.6455720020879241,1.6255806198250042,,10.981045228762357,-0.1189547712376448,,,,,,,,,-0.1070700011139957,-0.118954771237643,,170580.099,,103925.0,140.002332180897,164.52301479785865,131.62516836365486,146.36690169053307,141.99985618390022,151.19910420493557,129.64633863622575,146.72869315197897,148.33672030804843,148.02374884518846,167.6094894349476,127.94686665417264,65.88318937117806,155.69290347402065,106.96707685593378,127.51644662766026,136.7838493544048,201.88494943381184,147.18011075843762,0.9293636799805384,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.10911903164111,9.323814543290302,-21.46955116491913,109.45497085072887,105.17877860184417,1.0406564166814705,0.03985168393537261,,0,269.6706401519108,,,
2010-09,0.7,0.0031171855098504,136.696426721623,139.385480305902,,128.70569698247132,,,19.17465930775281,1.5873015873015817,1.5873015873015817,San Luis (empalme),,,,,,,,,687.7619047619048,139804.0,226974.8392,376157.8392,51125.0,10.551136363636363,3.979545454545456,11.6,,,11.6,,,,2.492024480210864,,0.904722892909282,1.623521781923264,,11.07663744634868,-0.5233625536513191,,,,,,,,,-0.4689628616947439,-0.5233625536513191,,174419.8392,,106983.0,139.385480305902,181.355705868134,131.75630458106957,148.74255778449458,141.63376952624927,150.78470251900805,131.04463632638726,144.55640953771248,143.76255761329543,150.4160218832137,165.70629008407113,118.09139039170948,62.2443245059734,156.7179367698437,103.22262856414936,127.88454680758868,134.78858649953102,209.79903213059487,146.64914829195473,0.9191228729892706,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.11563096129512,9.319965903938574,-20.43349426434524,107.66994835937321,104.84569443094733,1.026937242809584,0.026580821785802716,,0,286.9087941435876,,,
2010-10,0.8,0.0031421229939292,135.138844506923,140.188638502719,,129.49340864146745,,,19.800904849930568,3.266006097561003,3.266006097561003,San Luis (empalme),,,,,,,,,599.9,140516.0,233867.09,386156.09,51918.0,10.697368421052632,3.987368421052632,11.3,,,11.3,,,,3.036570407668337,,-0.2294356898926652,1.66434491445814,,11.237758384305984,-0.0622416156940168,,,,,,,,,-0.0559223860682966,-0.0622416156940168,,180374.09,,111627.0,140.188638502719,93.291968461619,131.5153454025079,138.7394762923678,145.56467592605208,149.23945491584573,129.69302083575926,139.20060843128186,142.70686728143443,154.19430476880825,166.71580673652235,118.44288100921467,66.21698335039048,155.4084419448367,103.2743020068346,128.24643185985124,133.3478257723757,159.45242051386313,145.88397133597869,0.9140676974392782,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.117060614870658,9.316117264586849,-19.905664971618897,106.6928496914494,104.3155289307487,1.0227897110340964,0.022533904777429323,,0,187.94381118917732,,,
2010-11,0.7,0.0031641178548867,139.598823283722,142.241573572224,,126.01228875825738,,,20.176506026919323,1.8968889544968004,1.8968889544968004,San Luis (empalme),,,,,,,,,532.45,145515.0,237047.496,394240.496,51896.0,10.8125,3.996190476190476,12.0,,,12.0,,,,1.3599202863472604,,-0.53696866814954,1.6290244717039482,,11.36476299743756,-0.6352370025624392,,,,,,,,,-0.5671758951450445,-0.6352370025624392,,183280.496,,114167.0,142.241573572224,72.7538880588535,132.37730753906555,142.0710257281679,145.08496002549148,154.38004344166137,133.55823945737416,139.65627188356785,145.39444628929206,155.9463836820479,166.71256439926768,117.0000780760201,85.8410585247438,164.91353223170603,101.50727764107998,129.2393314316485,134.14331960583277,156.0548490814211,148.73678874351984,0.901883930257148,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.114254163821116,9.312268625235118,-19.80144614140027,107.17894004802947,106.36402295645787,1.007661585834387,0.007632384940899352,,0,174.09390860252995,,,
2010-12,0.8,0.0031894307977258,138.477649512717,141.9797901459,,124.50316957888232,,,20.51995457397129,1.7022201296584605,1.7022201296584605,San Luis (empalme),,,,,,,,,507.7272727272728,160408.0,281716.6194,420870.6194,52145.0,11.11875,4.0105,12.2,27.028860942730493,,12.2,,,,18.843954968416977,,17.141734838758516,1.756250432646751,,11.703242587115549,-0.4967574128844525,,-15.325618355614946,,,,,,,-0.4427427922321203,-0.4967574128844507,-12.064674312496848,221400.6194,,124535.0,141.9797901459,76.78537843947882,133.86809031810617,140.02872335984603,137.34263809272372,157.78850171563482,137.1528232977929,135.5110088945273,145.54054563441164,153.34017545877103,165.72048408081633,130.33020159691736,101.3622129422064,150.6944863751161,92.28962047172725,130.69773454041191,133.6483958094775,164.8638032582223,145.5634467150135,0.9181453093175,0.0,sin control de cambios,Convertibilidad tardía y recuperación,0,0,9.28633129034804,9.308419985883392,-2.208869553535031,106.49414619820848,104.1051356105365,1.0229480570162208,0.02268871052517824,,0,186.04180521644537,,,
